No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
2840,The Conservation & Restoration of Ceramics,"Buys, Susan",4319kh,KH738.18 B987c 1993,,"""The Conservation & Restoration of Ceramics"" by Susan Buys is a comprehensive guide that delves into the practices and principles involved in the preservation and repair of ceramic objects. The book covers various techniques, materials, and tools used in the field, offering insights into the challenges and solutions in conserving ceramics. It also emphasizes the importance of maintaining the integrity and historical value of ceramic pieces while applying modern restoration methods.","ceramics, conservation, restoration, techniques, preservation",Non-Fiction,Non-Fiction,8,11
2841,Constructing Questions for Interns & Questionnaires: Theory & Practice In Social Research,"Foddy, Williams",359kh,KH301.072 F683c 1993,4/6/1997,"'Constructing Questions for Interviews & Questionnaires: Theory & Practice In Social Research' by Foddy, Williams is a comprehensive guide on designing effective questions for social research methods. The book delves into the theoretical underpinnings of question construction and provides practical advice for developing clear, unbiased questions. It addresses common pitfalls and offers strategies to improve the validity and reliability of data collected through interviews and questionnaires.","question design, social research, interviews, questionnaires, data validity",Academic,Non-Fiction,6,18
2842,Container Gardening For Glorious Result,"Greig, Denise",299kh,KH635.986 G86c 1994,,"""Container Gardening For Glorious Results"" by Denise Greig is a comprehensive guide that offers practical advice and creative ideas for growing plants in containers. The book covers essential topics such as choosing the right containers, selecting suitable plants, soil mixtures, and maintenance tips. It also includes design inspiration to help gardeners create stunning displays in any space, from small balconies to large patios.","container gardening, plant selection, soil mixtures, design inspiration, maintenance tips",Culinary,Gardening,13,11
2843,Contemporary Jewish Ethnics & Morality: A Reader,,1636kh,KH296.385 C767 1995,,"""Contemporary Jewish Ethnics & Morality: A Reader"" is a comprehensive anthology that explores the intersection of Jewish identity, ethical considerations, and cultural practices in modern society. Through a collection of essays and scholarly articles, the book delves into the diverse experiences and moral dilemmas faced by Jewish communities across the globe. It examines how contemporary issues such as globalization, technology, and multiculturalism influence Jewish ethics and traditions.","Jewish identity, ethics, culture, globalization, multiculturalism",Non-Fiction,Non-Fiction,11,5
2844,Contesting Castro: The US & The Triumph  of The Cuban Rev.,"Patterson, Thomas",412kh,KH327.7307291 P273c 1994,,"""Contesting Castro: The US & The Triumph of The Cuban Revolution"" by Thomas Patterson offers an in-depth analysis of the complex relationship between the United States and Cuba during the Cuban Revolution. The book explores the political, economic, and social factors that led to the rise of Fidel Castro and the eventual success of the revolution. Patterson delves into the failures of US foreign policy and the impact of Cold War dynamics on the island nation, providing a comprehensive account of this pivotal period in history.","Cuba, Fidel Castro, US foreign policy, revolution, Cold War",History,Non-Fiction,14,5
2845,The Context of Language Teaching,"Richard, Jack",1051kh,KH418.007 R391c 1985,6/6/1997,"""The Context of Language Teaching"" by Jack C. Richards explores various factors that influence language teaching and learning. It delves into the sociocultural, institutional, and individual contexts affecting language education. The book provides insights into how these contexts shape teaching methodologies and learner experiences, offering strategies for effective language instruction tailored to diverse environments.","language teaching, sociocultural context, teaching methodologies, language education, learner experiences",Academic,Educational,11,5
2846,Contraception: What’s Best For You?,"Rage, Mark",246kh,KH613.94 Su72c 1993,4/6/1997,"""Contraception: What’s Best For You?"" by Mark Rage is a comprehensive guide that explores various contraceptive methods, helping readers understand their options and make informed decisions about their reproductive health. The book covers the effectiveness, benefits, and potential side effects of each method, offering practical advice for individuals seeking to choose the best contraception for their lifestyle and needs.","contract law, cases, commentary, remedies, contract formation",Law,Non-Fiction,16,17
2188,Food Prices and Inflation in Developing Asia:Is poverty reduction comig to an end?,Asian Development Bank,D234639,PL338.195 As42f 2008,,"The book ""Food Prices and Inflation in Developing Asia: Is Poverty Reduction Coming to an End?"" by the Asian Development Bank examines the relationship between rising food prices and inflation in developing Asian countries. It explores how these economic factors impact poverty reduction efforts and the overall economic stability of the region. The book provides an analysis of the causes of food price inflation and its implications for food security and poverty. It also offers policy recommendations to mitigate the adverse effects on vulnerable populations.","food prices, inflation, poverty reduction, developing Asia, economic stability",Non-Fiction,Economics,5,12
2848,Control Systems For Life Entertainment,"Hurlington, John",4320kh,KH623.13897 H923g 1994,,"""Control Systems For Life Entertainment"" by John Hurlington explores the intersection of technology and entertainment, focusing on how control systems are integral to creating immersive experiences. The book delves into the technical and creative aspects of designing systems that enhance live performances, theme parks, and interactive exhibits. Through case studies and expert insights, Hurlington illustrates the critical role that innovative control systems play in the evolution of entertainment.","neoclassical, structuralism, open economies, economic growth, policy",Non-Fiction,Non-Fiction,20,11
2829,"Competition, commitment, & welfare","Suzumura, Kotaro",410kh,KH338.5 Su89c 1995,,"""Competition, Commitment, & Welfare"" by Kotaro Suzumura explores the intersection of economic theory and welfare economics, examining how competitive markets and individual commitments impact social welfare. The book delves into the philosophical underpinnings of welfare economics, addressing issues of fairness, efficiency, and the role of individual choice in market economies. Suzumura provides a critical analysis of traditional economic assumptions and offers insights into how policy can be designed to enhance societal well-being.","competition, welfare economics, social welfare, market efficiency, policy design",Non-Fiction,Economics,5,12
2850,The Coral Island: A Tale of The Pacific Ocean,,1403kh,KH398.2 B211c 199,,"""The Coral Island: A Tale of The Pacific Ocean"" by R.M. Ballantyne is an adventure novel that follows three boys, Ralph, Jack, and Peterkin, who are shipwrecked on a deserted island in the Pacific Ocean. As they adapt to their new environment, they encounter various challenges, including hostile natives, pirates, and the struggle for survival. Throughout their journey, the boys demonstrate courage, resourcefulness, and friendship as they strive to maintain their moral values in the face of adversity.","corporate governance, accountability, regulation, corporate control, business practices",Fiction,Adventure,15,16
2851,Corporate Control & Accountability Changing Structures & Dynamics of Regulation,"Parkinson, John",1639kh,KH658.4 C817 1994,,"""Corporate Control & Accountability: Changing Structures & Dynamics of Regulation"" by John Parkinson explores the evolving landscape of corporate governance and regulatory frameworks. It delves into the mechanisms of corporate control, the role of accountability, and the impact of regulatory changes on business practices. The book provides insights into the complexities of corporate regulation and the interplay between corporate entities and regulatory bodies.","corporate governance, accountability, company law, stakeholder interests, ethical business",Business & Career,Non-Fiction,11,15
2853,Corporate Public Relations,"Balan, KR",1693kh,KH659.285 B182c 1992,5/6/1997,"""Corporate Public Relations"" by Balan, KR explores the strategic importance of public relations in the corporate world. It covers the role of PR in shaping public perception, managing corporate reputation, and communicating effectively with various stakeholders. The book delves into PR strategies, tools, and techniques that organizations can employ to enhance their image and achieve business objectives. It also discusses case studies and real-world examples to illustrate successful PR practices.","corporate liability, criminal law, accountability, regulatory bodies, corporate crime",Business & Career,Business,7,8
2623,The Cambridge History of The English Language,,1041kh,KH420.9 C144 1994 v.5,,"""The Cambridge History of The English Language"" is a comprehensive exploration of the development of the English language from its origins to the present day. This multi-volume work examines the linguistic, social, and historical factors that have influenced English over the centuries. It covers the evolution of grammar, vocabulary, and pronunciation, while also considering external influences and the global spread of English. Each volume focuses on different time periods and aspects, providing an in-depth analysis of how English has transformed and adapted throughout history.","English language, evolution, history, linguistics, development",History,Linguistics,19,11
2855,Corporation In & Under International Law,"Hohenveldem, Ignaz Sedi",127kh,KH346.066 H383c 1997,4/6/1997,,"cosmetic surgery, procedures, risks, benefits, decisions",Law,,11,14
2856,Cosmetics Surgery: You’re Question Answered.,"Henderson, Leila",1244kh,KH617.95 H383c 1993,4/6/1997,"""Cosmetic Surgery: Your Questions Answered"" by Leila Henderson provides a comprehensive guide to understanding cosmetic surgery procedures. The book addresses common concerns and queries, offering insights into the benefits, risks, and realities of undergoing cosmetic enhancements. It serves as an informative resource for individuals considering surgery, helping them make informed decisions with clarity and confidence.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Non-Fiction,19,15
2857,Corpus Juris Secundum     Volume 1 &1a (1985),,4159-4160kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 1 & 1a (1985)"" serves as a comprehensive legal encyclopedia that provides an extensive overview of American law. It covers a wide range of legal topics, offering detailed explanations, interpretations, and references to relevant case law and statutes. This volume is an essential resource for legal professionals seeking authoritative information and guidance on various legal principles and practices.","legal, encyclopedia, jurisprudence, statutes, case law",Law,Reference,17,10
2858,Corpus Juris Secundum     Volume 2 &2a (1972),,4161-4162kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 2 & 2a (1972)"" is a comprehensive legal encyclopedia that provides detailed explanations, interpretations, and analyses of various legal principles and doctrines in the United States. It serves as a valuable resource for legal professionals, offering authoritative commentary on statutes, case law, and legal concepts to aid in legal research and practice.","legal encyclopedia, American law, case law, statutes, legal research",Law,Legal Reference,14,20
2859,Corpus Juris Secundum     Volume 3 &3a (1973),,4163-4164kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 3 & 3a (1973)"" is a comprehensive legal encyclopedia that offers detailed explanations and analyses of American law. It serves as an essential reference for legal professionals, providing authoritative information on various legal principles, case law, and statutes. This volume is part of a multi-volume series, covering a wide range of legal topics, and is designed to support legal research and practice.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Legal Reference,14,6
2860,Corpus Juris Secundum     Volume 4 &5 (1993),,4165-4166kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 4 & 5 (1993)"" is part of a comprehensive legal encyclopedia that provides detailed commentary on various aspects of American law. These volumes cover specific legal topics with thorough explanations, citing relevant case law, statutes, and legal principles. It serves as a valuable reference for legal professionals seeking in-depth understanding and analysis of legal doctrines and practices.","legal encyclopedia, American law, case law, statutes, legal analysis",Law,Legal Reference,9,15
2861,Corpus Juris Secundum     Volume 6 & 6a (1975),,4167-4168kh,KH345.5 C817,,"'Corpus Juris Secundum Volume 6 & 6a (1975)' is a comprehensive legal encyclopedia that offers detailed explanations and interpretations of American law. This volume focuses on a specific range of legal topics, providing authoritative references and citations to case law and statutes. It serves as a valuable resource for legal professionals seeking in-depth legal analysis and guidance on the application of law.","legal encyclopedia, American law, case law, legal principles, reference",Law,Legal Reference,6,10
2862,Corpus Juris Secundum     Volume 7 &7a (1980),,4169-4170kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 7 & 7a (1980)"" is a comprehensive legal encyclopedia that provides an authoritative summary of the entire body of American law as of its publication. It covers various legal topics, offering detailed explanations and analyses based on case law, statutes, and legal precedents. This volume serves as an essential reference for legal professionals, providing insights and guidance on legal principles and their applications.","legal encyclopedia, legal principles, case law, United States, legal research",Law,Legal Reference,18,14
2863,Corpus Juris Secundum     Volume 8 &8a (1988),,4171-4172kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 8 & 8a (1988)"" is a comprehensive legal encyclopedia that provides detailed explanations of legal principles and doctrines in the United States. This volume focuses on specific areas of law, offering authoritative guidance, case law references, and commentary to support legal research and practice. It serves as a valuable resource for legal professionals seeking to understand and apply the law effectively.","law, legal encyclopedia, American law, statutes, case law",Law,Legal Reference,8,8
2864,"Corpus Juris Secundum     Volume 9, 10 &11 (1938)",,4173-4175kh,KH345.5 C817,,"'Corpus Juris Secundum' is a comprehensive legal encyclopedia that provides an exhaustive analysis of American law as of its publication date. Volumes 9, 10, and 11, published in 1938, cover a wide range of legal topics, offering detailed explanations, case references, and interpretations of statutes and legal principles. It serves as a crucial resource for legal professionals seeking authoritative guidance on various aspects of law.","legal encyclopedia, case law, statutes, legal principles, judicial decisions",Law,Legal Reference,19,20
2865,Corpus Juris Secundum     Volume 12 & 12a (1980),,4176-4177kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 12 & 12a (1980)"" is part of a comprehensive legal encyclopedia that provides detailed explanations and analyses of legal principles and case law in the United States. This volume focuses on specific areas of law, offering authoritative insights and references to relevant statutes and judicial decisions, serving as a valuable resource for legal professionals seeking to understand complex legal concepts and precedents.","law, legal encyclopedia, case law, statutes, legal research",Law,Legal Reference,16,20
2866,Corpus Juris Secundum     Volume 13 (1990),,4178kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 13 (1990)"" is a comprehensive legal encyclopedia that provides an extensive analysis of American law. It covers various legal principles, case law, statutes, and procedural rules, serving as a critical reference for legal professionals. This volume delves into specific legal topics, offering authoritative insights and interpretations that aid in legal research and practice.","legal encyclopedia, American law, case law, legal principles, legal reference",Law,Legal Reference,12,6
2867,Corpus Juris Secundum     Volume 14 &14a (1991),,4179-4180kh,KH345.5 C817,,"""Corpus Juris Secundum, Volume 14 & 14a (1991)"" is part of a comprehensive legal encyclopedia that provides a systematic and thorough analysis of American law. This volume covers various areas of law, offering detailed commentary, case law references, and legal principles. It serves as a crucial resource for legal professionals seeking authoritative guidance and interpretations of legal doctrines and statutes.","legal encyclopedia, American law, contracts, case law, legal interpretation",Law,Legal Reference,5,19
2868,Corpus Juris Secundum     Volume 15 &15a (1967),,4181-4182kh,KH345.5 C817,,"""Corpus Juris Secundum Volumes 15 & 15A"" is a comprehensive legal encyclopedia that provides authoritative commentary and analysis on American law. It covers various aspects of contracts, offering interpretations, case law references, and procedural guidance to help legal professionals understand and apply the law in practice.","law, constitutional, encyclopedia, legal, courts",Law,Legal Reference,19,16
2869,Corpus Juris Secundum     Volume 16 &16a (1984),,4183-4184kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 16 & 16a (1984)"" is a comprehensive legal encyclopedia that provides detailed explanations of American law as interpreted by the courts. This volume focuses on the principles and precedents related to constitutional law, covering various aspects such as the powers and limitations of government entities, the rights of individuals, and judicial interpretations. It serves as a valuable resource for legal professionals seeking to understand the complexities of constitutional law.","legal encyclopedia, American law, legal principles, case law, reference",Law,Legal Reference,10,10
2870,"Corpus Juris Secundum     Volume 16b,16, 16d (1985)",,4185-4187kh,KH345.5 C817,,"'Corpus Juris Secundum Volume 16b, 16, 16d (1985)' is part of a comprehensive legal encyclopedia that provides an extensive overview of American law. These volumes cover various aspects of legal principles, doctrines, and case law, offering detailed explanations and citations. They serve as a valuable resource for legal professionals seeking authoritative references on specific legal topics.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Legal Reference,8,18
2871,Corpus Juris Secundum     Volume 17 &17a (1963),,4188-4189kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that offers an extensive analysis and summary of American law. Volume 17 and 17a, published in 1963, cover various legal topics in detail, providing practitioners, scholars, and students with authoritative explanations and references to relevant case law and statutes. This resource is essential for those seeking a deep understanding of legal principles and their applications within the jurisdiction of the United States.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Legal Reference,17,11
2872,Corpus Juris Secundum     Volume 18 &19 (1990),,4190-4191kh,KH345.5 C817,,"""Corpus Juris Secundum Volumes 18 & 19 (1990)"" is part of an extensive legal encyclopedia that provides a comprehensive analysis of American law. These volumes cover various legal principles, case law, and statutes, offering detailed explanations and interpretations that serve as a valuable resource for legal professionals seeking authoritative information on specific legal topics.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Legal Reference,12,13
2873,Corpus Juris Secundum     Volume 20 (1940),,4192kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 20 (1940)"" is a comprehensive legal encyclopedia that offers detailed discussion and analysis of American law. It serves as a key resource for legal professionals, providing authoritative explanations and interpretations of various legal principles, case law, and statutes. This volume contributes to the broader series by covering specific legal topics, aiding in research and reference for practitioners seeking to understand the intricacies of the law.","legal encyclopedia, American law, case law, statutes, legal reference",Law,Legal Reference,5,10
2874,Corpus Juris Secundum     Volume 20a &21 (1990),,4193-4194kh,KH345.5 C817,,"'Corpus Juris Secundum Volume 20a & 21 (1990)' is a comprehensive legal encyclopedia that provides an extensive overview of American law. These volumes cover various legal principles, case law, and statutes, offering detailed explanations and references to assist legal professionals and scholars in understanding and applying the law. The content is systematically organized and regularly updated to reflect current legal standards and practices.","legal encyclopedia, American law, case law, legal analysis, legal reference",Law,Legal Reference,5,8
2875,"Corpus Juris Secundum     Volume 22,22a,23,23a &24 (1989)",,4195-4199kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that provides an exhaustive summary of American law as of 1989. Volumes 22, 22A, 23, 23A, and 24 cover a range of legal topics, offering in-depth analysis, case law references, and authoritative commentary. It serves as an essential resource for legal professionals, providing guidance on the interpretation and application of laws across various jurisdictions.","law, legal encyclopedia, statutes, case law, legal principles",Law,Legal Reference,12,5
2876,Corpus Juris Secundum     Volume 25 &25a (1966),,4200-4201kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 25 & 25a (1966)"" is part of a comprehensive legal encyclopedia that provides a detailed and authoritative analysis of American law. This volume covers various legal topics, offering extensive citations and interpretations of statutes, case law, and legal principles. It serves as a valuable resource for legal professionals seeking to understand the intricacies of legal doctrines and their applications.","law, encyclopedia, annotations, statutes, case law",Law,Legal Reference,13,11
2877,Corpus Juris Secundum     Volume 26 &26a (1956),,4202-4203kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 26 & 26A (1956)"" is a comprehensive legal encyclopedia that provides detailed annotations and interpretations of American law. It covers a wide range of legal topics, offering authoritative commentary on statutes, case law, and legal principles relevant to the legal profession. This volume serves as an essential resource for lawyers, judges, and legal scholars seeking in-depth legal analysis and understanding.","legal encyclopedia, case law, statutes, legal research, American law",Law,Legal Reference,13,14
2878,Corpus Juris Secundum     Volume 27 (1959),,4204kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 27"" (1959) is a comprehensive legal encyclopedia that provides a detailed analysis and summary of American case law and statutes. This volume covers specific legal topics, offering authoritative explanations and citations to support legal research and practice. It serves as a vital resource for attorneys, judges, and scholars seeking to understand the intricacies of the law and its applications.","legal encyclopedia, United States law, case law, statutes, legal principles",Law,Legal Reference,7,8
2879,"Corpus Juris Secundum     Volume 27a,27b &27c (1986)",,4205-4207kh,KH345.5 C817,,"'Corpus Juris Secundum' is a comprehensive legal encyclopedia that provides an in-depth analysis of United States law. This specific volume, encompassing 27a, 27b, and 27c, published in 1986, covers various legal principles, case law, statutes, and legal interpretations. It serves as a vital reference for legal professionals seeking detailed explanations and authoritative commentary on specific legal topics and issues.","legal, encyclopedia, jurisprudence, case law, reference",Law,Legal Reference,20,5
2880,Corpus Juris Secundum     Volume 28 (1941),,4208kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 28 (1941)"" is part of a comprehensive legal encyclopedia that covers various topics related to the law in the United States. This volume deals with specific legal principles and case law interpretations, serving as an essential reference for legal professionals seeking authoritative guidance on American jurisprudence.","legal encyclopedia, criminal law, American law, case law, statutory interpretation",Law,Legal Reference,12,17
2881,Corpus Juris Secundum     Volume 28a (1974),,4209kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 28a"" is a comprehensive legal encyclopedia that provides an extensive overview of American law, focusing on criminal law topics. This volume delves into specific legal principles, case law, and statutory interpretations, serving as a vital reference for legal practitioners seeking detailed explanations and analyses of various criminal law concepts prevalent in 1974.","law, encyclopedia, legal research, case law, legal principles",Law,Legal Reference,19,10
2882,Corpus Juris Secundum     Volume 29 (1965),,4210kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 29"" is part of a comprehensive legal encyclopedia that provides authoritative statements on various areas of U.S. law. This volume covers specific legal topics, offering detailed explanations, case law references, and analyses that aid legal professionals in their research and understanding of legal principles.","legal encyclopedia, U.S. law, case law, jurisprudence, legal interpretations",Law,Legal Reference,9,9
2883,"Corpus Juris Secundum     Volume 29a, 30 &30a (1992)",,4211-4213kh,KH345.5 C817,,"""Corpus Juris Secundum"" is an extensive legal encyclopedia that provides comprehensive overviews and analyses of U.S. law. Volumes 29a, 30, and 30a cover specific topics related to the legal field, offering detailed explanations, case law references, and interpretations that serve as a valuable resource for legal professionals seeking authoritative insights into American jurisprudence.","legal encyclopedia, U.S. law, case law, legal principles, reference",Law,Legal Reference,9,14
2884,"Corpus Juris Secundum     Volume 31a, 32, 32a (1964)",,4214-4216kh,KH345.5 C817,,"'Corpus Juris Secundum' is a comprehensive legal encyclopedia that provides authoritative explanations of U.S. law, covering a wide range of topics. Volumes 31a, 32, and 32a from 1964 delve into specific legal principles and case law, offering detailed analysis and references for legal professionals seeking in-depth understanding of various legal issues.","legal encyclopedia, American law, domestic relations, annotations, 1942",Law,Legal Reference,13,16
2885,Corpus Juris Secundum     Volume 33 &34 (1942),,4217-4218kh,KH345.5 C817,,"""Corpus Juris Secundum Volumes 33 & 34"" is part of an extensive legal encyclopedia that provides comprehensive coverage of American law. These volumes specifically focus on aspects of domestic relations law, offering detailed explanations, annotations, and interpretations of legal principles as they were understood in 1942. It serves as a valuable resource for legal professionals seeking historical context and reference material on domestic relations.","legal encyclopedia, criminal law, American law, case law, legal reference",Law,Legal Reference,7,14
2886,"Corpus Juris Secundum     Volume 35, 35a, 35b &36 (1960)",,4219-4222kh,KH345.5 C817,,"'Corpus Juris Secundum' is a comprehensive legal encyclopedia that provides an in-depth analysis of American law as of 1960. Volumes 35, 35a, 35b, and 36 cover various aspects of criminal law, including definitions, principles, procedures, and case law interpretations. It serves as a crucial resource for legal professionals seeking detailed explanations and authoritative references in the field of criminal law.","legal encyclopedia, contract law, precedents, United States, legal principles",Law,Legal Reference,16,18
2887,Corpus Juris Secundum     Volume 36a (1961),,4223kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 36a"" is a comprehensive legal encyclopedia that provides detailed explanations of legal principles and precedents in the United States as of 1961. It covers various topics related to contracts, offering insights into legal definitions, interpretations, and applications of contract law. This volume serves as a valuable reference for legal professionals seeking authoritative guidance and clarification on contractual matters.","law, encyclopedia, U.S. legal system, case law, legal reference",Law,Legal Reference,8,18
2888,Corpus Juris Secundum     Volume 37 & 38 (1943),,4224-4225kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that provides detailed explanations and interpretations of U.S. law. Volumes 37 and 38, published in 1943, cover various legal principles and case law, serving as an essential reference for legal professionals seeking authoritative information on a wide range of legal topics.","legal encyclopedia, American law, statutes, case law, legal principles",Law,Legal Reference,16,16
2889,Corpus Juris Secundum     Volume 39 &39a (1976),,4226-4227kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 39 & 39a (1976)"" is part of an extensive legal encyclopedia that provides a comprehensive overview of American law as understood in 1976. This volume covers various legal topics, offering detailed analyses and interpretations of statutes, case law, and legal principles. It serves as a valuable resource for legal professionals seeking authoritative guidance on legal precedents and interpretations.","legal encyclopedia, American law, case law, statutes, legal reference",Law,Legal Reference,11,6
2890,"Corpus Juris Secundum     Volume 40, 41, &42 (1991)",,4228-4230kh,KH345.5 C817,,"""Corpus Juris Secundum Volumes 40, 41, & 42 (1991)"" is part of a comprehensive legal encyclopedia that covers the entire body of American law. These volumes provide detailed explanations of legal principles, case law, and statutes, serving as a crucial reference for legal professionals. They cover a wide range of legal topics and offer authoritative guidance and analysis to assist in legal research and practice.","legal encyclopedia, American law, legal principles, case law, statutes",Law,Legal Reference,16,11
2891,"Corpus Juris Secundum     Volume 43, 43a (1978)",,4231-4232kh,KH345.5 C817,,"""Corpus Juris Secundum"" Volume 43 and 43a is a comprehensive legal encyclopedia that provides an extensive overview of American law as it was understood in 1978. This volume focuses on specific areas of law, offering detailed explanations of legal principles and citations to relevant case law, statutes, and regulations. It serves as a valuable resource for legal professionals seeking authoritative guidance on various legal topics.","legal encyclopedia, U.S. law, case law, statutes, legal principles",Law,Legal Reference,17,19
2892,"Corpus Juris Secundum     Volume 44, 45, 46, 46a (1993)",,4233-4236kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that provides an extensive analysis and explanation of U.S. law. Volumes 44, 45, 46, and 46a, published in 1993, cover various legal principles, case law, and statutes, serving as a valuable resource for legal professionals seeking authoritative commentary and guidance on diverse legal topics.","legal encyclopedia, American law, case law, statutes, legal reference",Law,Legal Reference,11,8
2893,Corpus Juris Secundum     Volume 47 (1982),,4237kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 47 (1982)"" is part of a comprehensive multi-volume legal encyclopedia that provides detailed commentary on American law. It covers a wide range of legal topics by summarizing case law, statutes, and regulations, serving as a valuable resource for legal professionals seeking authoritative references and interpretations.","legal encyclopedia, United States law, case law, statutes, legal analysis",Law,Legal Reference,11,15
2894,Corpus Juris Secundum     Volume 47a (1994),,4238kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 47a (1994)"" is a comprehensive legal encyclopedia that provides detailed explanations and interpretations of United States law. This volume covers various legal topics, offering authoritative commentary and references to case law and statutes, serving as an essential resource for legal professionals seeking in-depth legal analysis and guidance.","legal encyclopedia, American law, case law, statutes, legal research",Law,Legal Reference,19,10
2895,Corpus Juris Secundum     Volume 47a-47b (1993),,4239-4240kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 47a-47b (1993)"" is a comprehensive legal encyclopedia that provides an in-depth analysis and commentary on American law, specifically focusing on the topics covered in these volumes. It serves as a crucial resource for legal professionals, offering detailed explanations of legal principles, case law, and statutes. The coverage is designed to aid in legal research and understanding complex legal concepts.","law, legal encyclopedia, case law, legal principles, U.S. law",Law,Legal Reference,11,14
2896,Corpus Juris Secundum     Volume 47b (1994),,4241kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 47b (1994)"" is a comprehensive legal encyclopedia that provides authoritative information on various aspects of U.S. law. This volume focuses on specific legal principles and case law interpretations, offering detailed explanations and references for legal professionals. It serves as an essential resource for understanding the complexities of legal doctrines and their applications.","legal encyclopedia, United States law, statutory law, case law, legal research",Law,Legal Reference,6,20
2897,Corpus Juris Secundum     Volume 48-48a (1981),,4242-42433kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 48-48a"" is a comprehensive legal encyclopedia that provides detailed explanations and analyses of various aspects of United States law as of 1981. This volume covers a range of legal topics, offering practitioners and scholars authoritative insights into statutory and case law. It serves as a vital reference for understanding legal principles and precedents, aiding in legal research and case preparation.","legal encyclopedia, American law, case law, legal precedent, law research",Law,Legal Reference,12,7
2898,Corpus Juris Secundum     Volume 49-50 (1947),,4244-4245kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that offers an extensive overview of American law as of 1947. Volumes 49-50 cover various legal topics, providing detailed explanations, interpretations, and case law references for legal professionals. This resource serves as a critical tool for understanding and researching legal precedents and principles.","legal encyclopedia, American law, case law, statutes, legal principles",Law,Legal Reference,10,10
2899,Corpus Juris Secundum     Volume 51-51a (1967),,4246-4247kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 51-51a (1967)"" is part of a comprehensive legal encyclopedia that provides an extensive overview of American law as of 1967. This volume covers various legal principles, case law, and statutes, serving as a reference for legal professionals. It offers detailed analysis and interpretation of legal concepts to aid in understanding and applying the law effectively.","legal encyclopedia, American law, case law, statutes, legal professionals",Law,Legal Reference,16,10
2900,"Corpus Juris Secundum     Volume 51b, 51c,52, 52a (1968)",,4248-4251kh,KH345.5 C817,,"'Corpus Juris Secundum' is a comprehensive legal encyclopedia that provides an in-depth overview of American law as of 1968. Volumes 51b, 51c, 52, and 52a cover various legal topics, offering detailed explanations, case law references, and interpretations of statutes. This resource is designed to assist legal professionals in understanding and applying the law by providing authoritative insights and references across numerous legal fields.","legal encyclopedia, American law, case law, statutes, legal research",Law,Legal Reference,15,13
2901,Corpus Juris Secundum     Volume 53-54 (1987),,4252-4253kh,KH345.5 C817,,"""Corpus Juris Secundum"" is a comprehensive legal encyclopedia that provides authoritative statements on American law. Volumes 53-54 cover specific legal principles, case law, and statutes, offering detailed explanations and references to aid legal research and practice. This resource is essential for lawyers, scholars, and students seeking to understand complex legal topics and their applications.","legal, encyclopedia, U.S. law, reference, case law",Law,Legal Reference,15,13
2902,Corpus Juris Secundum     Volume 55 (1948),,4254kh,KH345.5 C817,,"""Corpus Juris Secundum Volume 55"" is a comprehensive legal encyclopedia that provides detailed explanations and interpretations of U.S. law as of 1948. This volume covers a range of legal topics, offering practitioners and scholars in-depth insights into case law, statutes, and legal principles. The content is designed to serve as a reference guide for legal research and to aid in understanding the complexities of legal issues.","legal encyclopedia, U.S. law, case law, legal interpretation, research",Law,Legal Reference,13,16
